"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Cabo Verde","CPV","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74.7600021362305","","","","","","","","","","","","","","","","","","","89.1315360454871","","","90.4700012207031","","","91.6900024414062","","","","","","","","","92.9000015258789","",
"Costa Rica","CRI","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","92.6800003051758","","","","","","","","","","","","","","","","94.6500015258789","","","","","","","","","","","97.3099975585938","","","","","","","","","","","","","","",
"Caribbean small states","CSS","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84.6205368041992","84.6701583862305","84.9738693237305","85.2846984863281","85.5886993408203","85.890266418457","86.1858825683594","86.4837036132812","86.7626037597656","87.0566177368164","87.3382568359375","87.6082992553711","87.935546875","88.1732025146484","88.7052917480469","89.0117111206055","","","","","","","","","","","","","","","","","",
"Cuba","CUB","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.8099975585938","","","","","","","","","","99.629997253418","","","","","","","99.0299987792969","","","","","","",
"Curacao","CUW","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.7200012207031","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.8300018310547","","","","","","","","","98.629997253418","","","","","","","","","","99.2900009155273","","","","","","","","","","","","","","",
"Czechia","CZE","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Germany","DEU","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Djibouti","DJI","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominica","DMA","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominican Republic","DOM","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","73.5899963378906","","","","","","","","","","","","","","","","","","","","","86.8099975585938","","","","","88.2099990844727","","","89.379997253418","89.9899978637695","90.0800018310547","90.4599990844727","91.370002746582","91.6500015258789","93.7900009155273","93.4315229332502","93.4368217632503","93.6136998037693","93.81268564515","93.9622883292031","93.7533431482917","94.4929175300518","93.5999984741211","",
"Algeria","DZA","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","63.3800010681152","","","","","","","","","","","","","","","79.1900024414062","","","","81.2799987792969","","82.620002746582","","","","","","","","","","","","","","","","","",
